country,total_capacity_mw,total_generation_gwh,total_emissions_tonnes,num_plants,carbon_intensity_gco2_kwh,renewable_capacity_mw,renewable_percentage,dominant_fuel
GHA,2108.0,6903.23,1475.6084799999999,6,213.75623874621007,1618.0,76.75521821631878,Hydro
LVA,2537.0,7230.27,1497.5583,5,207.12342692596542,1536.0,60.54394954670871,Hydro
GNQ,150.5,344.78999999999996,70.5279,3,204.55320629948667,120.0,79.734219269103,Hydro
PAN,1633.2,5715.17,1101.2105999999999,17,192.68203745470387,1090.8,66.78912564290962,Hydro
TGO,195.114,386.914,72.82022,3,188.20776710069939,65.6,33.62137007083038,Oil
SDN,2798.11,10805.5,2021.37744,19,187.06931099902826,1540.01,55.03750746039291,Hydro
ZMB,2689.337,12897.198059999999,2410.5219137999998,15,186.9027600092543,2207.5,82.08342799730937,Hydro
RWA,193.68,776.6376,144.34524,11,185.85919610381984,136.1,70.27054935976868,Hydro
CMR,881.5799999999999,4188.43,714.75492,8,170.64984254243234,630.2,71.48528777876088,Hydro
VEN,31096.0,107469.99,17949.26922,43,167.0165710446237,17666.0,56.81116542320556,Hydro
FIN,11796.76,50364.7772,8411.445666,185,167.0104810073497,2458.92,20.844028360329446,Nuclear
BEL,13404.8,69495.72,11204.94066,69,161.23209688308862,2384.8,17.790642158032945,Nuclear
CAN,143578.7,635594.3319999999,101857.67134,1159,160.25578928542117,94663.4,65.931367257121,Hydro
SLV,1418.5,4225.2699999999995,662.8458,16,156.8765546343784,943.3,66.4998237574903,Oil
BRA,147589.27133,575122.777948,86542.65824804,2360,150.47684001808878,110141.70653,74.62717685198832,Hydro
GIN,510.42,1726.3484,243.45408000000003,9,141.0225653176381,418.32,81.95603620547783,Hydro
SVK,6230.86,24892.18,3507.4993999999997,30,140.90768265374908,2344.86,37.63300732162173,Hydro
ECU,4245.48,17553.54,2369.86874,22,135.0080234528192,3304.32,77.83148195257074,Hydro
LBR,73.3,265.3132,35.54112,2,133.95910946006455,60.0,81.85538881309687,Hydro
SWZ,94.8,363.03,48.41304,6,133.35823485662343,50.8,53.58649789029536,Hydro
LTU,3490.8,3218.9300000000003,412.6951,6,128.20878366413683,1000.8,28.6696459264352,Gas
KGZ,3634.0,11770.6,1395.08184,8,118.52257658912885,2910.0,80.07705008255365,Hydro
EST,2541.9,927.04,105.66413,17,113.9801195201933,277.9,10.932766827963333,Oil
AFG,300.55,1012.0400000000001,110.90256000000001,9,109.58317853049287,258.55,86.02561969722176,Hydro
LUX,1681.0,4964.5199999999995,542.3277400000001,2,109.24072015018574,1296.0,77.09696609161215,Hydro
NZL,6674.55,25381.96,2702.63475,43,106.4785678489762,5512.55,82.59058663130848,Hydro
AUT,11227.1,35468.54,3735.12704,103,105.30817000079507,9160.1,81.58919044098654,Hydro
AGO,1071.18,3054.59,317.33747999999997,14,103.88873138457207,770.6,71.93935659739726,Hydro
KEN,2485.9,10867.949999999999,1027.86939,23,94.57803817647306,1930.4,77.65396838167263,Hydro
TJK,5296.4,19192.36,1798.65408,10,93.71719163250377,4686.4,88.48274299524205,Hydro
URY,4209.12,14427.9596,1262.504154,73,87.50399841707348,3144.96,74.71775573041396,Hydro
