country,Biomass_pct,Coal_pct,Cogeneration_pct,Gas_pct,Geothermal_pct,Hydro_pct,Nuclear_pct,Oil_pct,Other_pct,Petcoke_pct,Solar_pct,Storage_pct,Waste_pct,Wave and Tidal_pct,Wind_pct,total_capacity_mw,num_plants,renewable_ratio,fossil_ratio
BEN,0.0,0.0,0.0,66.94214876033058,0.0,0.0,0.0,33.057851239669425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.5,2,0.0,1.0
BFA,0.0,0.0,0.0,0.0,0.0,13.082954654479167,0.0,63.84743530478924,0.0,0.0,23.069610040731597,0.0,0.0,0.0,0.0,229.306,7,0.36152564695210765,0.6384743530478924
BGD,0.0,2.1114864864864864,0.0,74.04560810810811,0.0,1.9425675675675675,0.0,21.62162162162162,0.0,0.0,0.27871621621621623,0.0,0.0,0.0,0.0,11840.0,57,0.022212837837837836,0.9777871621621622
BGR,0.0,52.517239143122715,0.0,0.0,0.0,21.162534316162642,21.616480404660514,0.0,0.0,0.0,3.017660664490607,0.0,0.0,0.0,1.6860854715635198,9252.2,43,0.2586628045221677,0.5251723914312272
BHR,0.0,0.0,0.0,99.83786562619458,0.0,0.0,0.0,0.0962260917706919,0.0,0.0,0.06590828203472049,0.0,0.0,0.0,0.0,7586.3,8,0.0006590828203472048,0.9993409171796528
BIH,0.0,44.66189938527161,0.0,0.0,0.0,55.33810061472839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3985.5,20,0.5533810061472839,0.4466189938527161
BLR,0.0,0.0,0.0,97.27120411486953,0.0,0.0,0.0,0.0,0.0,0.0,2.728795885130465,0.0,0.0,0.0,0.0,8534.9,24,0.02728795885130465,0.9727120411486954
BOL,0.0,0.0,0.0,67.39213879932444,0.0,28.73099953938278,0.0,0.0,0.0,0.0,3.876861661292799,0.0,0.0,0.0,0.0,1563.12,26,0.3260786120067558,0.6739213879932444
BRA,8.702403964907493,1.892333348374151,0.0,7.6469003189027385,0.0,66.42717523876807,1.3483364895477323,5.611160394906464,0.09980400246752813,0.0,1.224593504468791,0.0,0.07188462890556638,0.0,6.9754081087514495,147589.27133000002,2360,0.7462717685198831,0.15150394062183353
BRN,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,586.0,4,0.0,1.0
BTN,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1482.2,5,1.0,0.0
BWA,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,746.0,2,0.0,1.0
CAF,0.0,0.0,0.0,0.0,0.0,57.33127376425855,0.0,42.668726235741445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.664,2,0.5733127376425855,0.42668726235741444
CAN,1.9096843751893564,6.806023456125457,0.0,13.780874182591152,0.0,56.19426836989053,9.927656400287788,1.6325541323329993,0.01184019635224445,0.0,1.2721942739417478,0.0,0.0,0.013929642767346413,8.450974970521393,143578.69999999998,1159,0.6593136725712102,0.22219451771049606
CHE,0.0,0.0,0.0,0.0,0.0,73.6987345631956,26.147278548559232,0.0,0.0,0.0,0.15398688824515933,0.0,0.0,0.0,0.0,13118.0,168,0.7385272145144076,0.0
CHL,1.7080708356313798,21.53116322335686,0.0,13.339360004332104,0.0,28.51975529147472,0.0,13.04000129839723,0.0,0.28020325879389224,17.591260917888953,0.0,0.0,0.0,3.990185170124861,22475.648667,315,0.5010120137948852,0.4791052452608619
CHN,0.0,67.53869204447352,0.0,4.22414514282705,0.0018444351391945731,18.304824467086505,2.3604529700910777,0.09391778927163172,0.0,0.0,3.8727357279622963,0.0,0.0,0.0,3.603387423148712,1415067.3800000001,4235,0.25782792053336706,0.718567549765722
CIV,0.0,0.0,0.0,50.20781379883624,0.0,49.79218620116376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1203.0,8,0.4979218620116376,0.5020781379883624
CMR,0.0,0.0,0.0,22.686540075773042,0.0,71.48528777876086,0.0,5.828172145466095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,881.58,8,0.7148528777876086,0.28514712221239136
COD,0.0,0.0,0.0,0.817784523591448,0.0,98.74911679271453,0.0,0.4330986836940308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3057.04,15,0.9874911679271453,0.01250883207285479
COG,0.0,0.0,0.0,53.68269691644033,0.0,34.98961495446557,0.0,11.327688129094106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,625.9,8,0.34989614954465575,0.6501038504553444
COL,0.0,12.751739289637495,0.0,23.370560234346392,0.0,61.27792017575979,0.0,1.720981325521787,0.0,0.0,0.8787989747345295,0.0,0.0,0.0,0.0,10924.0,25,0.6215671915049432,0.3784328084950567
CPV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.61235924788535,0.0,0.0,5.387640752114649,0.0,0.0,0.0,0.0,92.805,4,0.05387640752114649,0.9461235924788535
CRI,0.0,0.0,0.0,0.0,10.107193659825239,65.94188173135541,0.0,23.696911196911195,0.0,0.0,0.25401341190814875,0.0,0.0,0.0,0.0,1968.4,27,0.763030888030888,0.23696911196911194
CUB,0.0,0.0,0.0,10.824905183312264,0.0,0.0,0.0,88.66940581542352,0.0,0.0,0.23704171934260432,0.0,0.0,0.0,0.2686472819216182,3796.7999999999997,14,0.0050568900126422255,0.9949431099873578
CYP,0.0,0.0,0.0,59.12806539509536,0.0,0.0,0.0,40.87193460490463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1468.0,3,0.0,1.0
CZE,0.0,49.568211857726254,0.0,7.823752200430306,0.0,10.828784295595582,24.733725706360353,0.0,0.0,0.0,7.045525939887503,0.0,0.0,0.0,0.0,16871.7,462,0.17874310235483087,0.5739196405815656
DEU,1.4774138356578121,42.63900406542446,0.0,21.804862779302404,0.0,8.911162614988923,9.970512872671673,2.5447969118755234,0.675560038790188,0.0,6.042966999397816,0.0,1.418060232038381,0.0,4.515659649852824,112040.37488,1309,0.19469789264239565,0.669886637566024
DJI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.332,1,0.0,1.0
DNK,1.088408450007421,62.942165932815506,0.0,7.062286647207243,0.17315588977390786,0.0,0.0,8.21253648641963,0.0,0.0,3.1056745658734473,0.0,0.0,0.0,17.415772027902833,8085.200000000001,47,0.20694602483550187,0.7821698906644238
DOM,0.0,16.414705423311034,0.0,17.168167311594164,0.0,12.22169001501542,0.0,45.31535070959964,0.0,0.0,6.081513812570974,0.0,0.0,0.0,2.7985727279087667,1858.09,15,0.21101776555495164,0.7889822344450483
DZA,0.0,0.0,0.0,95.6229762249745,0.0,0.15119253108896422,0.0,0.0,0.0,0.0,4.2258312439365495,0.0,0.0,0.0,0.0,15873.8,59,0.04377023775025513,0.956229762249745
ECU,0.0,0.0,0.0,11.148327162064124,0.0,76.65375882114624,0.0,11.02019088536514,0.0,0.0,1.1777231314244796,0.0,0.0,0.0,0.0,4245.4800000000005,22,0.7783148195257072,0.22168518047429267
EGY,0.0,0.0,0.0,85.06150628227068,0.0,8.191086342826218,0.0,2.9253879795807918,0.0,0.0,2.2218321704916115,0.0,0.0,0.0,1.6001872248306932,34183.5,62,0.12013105738148522,0.8798689426185148
ERI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.19,2,0.0,1.0
ESH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.4,1,0.0,1.0
ESP,0.025305222739860238,11.113180797162089,0.0,33.09814828020392,0.0,19.812896219688202,9.008735211058463,5.9045574554323155,0.0,0.0,6.201440859138629,0.0,0.49098964525468625,0.0,14.344746309321831,79035.068,829,0.40359083388148664,0.5011588653279833
EST,0.0,0.0,0.0,16.64109524371533,0.0,0.0,0.0,72.42613792832134,0.0,0.0,0.0,0.0,0.0,0.0,10.932766827963333,2541.9,17,0.10932766827963332,0.8906723317203666
ETH,0.0,0.0,0.0,0.0,0.18141603916598323,94.74887546907229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.069708491761723,4023.9,13,1.0,0.0
FIN,18.483380182355155,11.359051129293128,0.0,16.310410655129033,0.0,20.194697527117615,23.328439334190065,7.279965007341,2.394725331362171,0.0,0.0,0.0,0.0,0.0,0.649330833211831,11796.76,185,0.20844028360329447,0.3494942679176316
FJI,7.65643707858088,0.0,0.0,0.0,0.0,65.85166047009892,0.0,23.309597328124013,0.0,0.0,0.0,0.0,0.0,0.0,3.182305123196168,317.38000000000005,12,0.6903396559329509,0.23309597328124013
